species	group	length	AR	wload	back	belly	ftype	sim	billcol	legcol	arrives	leaves	eggs	incub	ccare	diver	long-billed	webbed-feet	long-legs	wading-bird	plunge-dives	BMI	WSI	family	 forest-edges	 harbours	archipelago	coastal-meadows	fells	fields	forest-edges	forests	islets	lakes	marshland	meadows	nutrient-rich-lakes	pastures	ponds	reedbeds	sea-bays	sea-coast	shores	shrub-tundra	streams	wetlands	algae	berries	birds	carrion	chicks	clams	eggs	fish	frogs	garbage	grain	grass	hares	insects	invertebrates	larvae	lizards	molluscs	plants	rodents	seeds	shellfish	small-rodents	snails	snakes	squirrels	vertebrae	worms
liejukana	rallidae	short	small_AR		brownish-black_back	dark-grey_belly	C	similar-looking_genders	red_billcol	greenish_legcol	average_migration_arrival	late_migration_leaving	many_eggs	both_incub	both_ccare				long-legs	wading-bird			short-winged	rallidae										habitat_lakes						habitat_reedbeds	habitat_sea-bays																				eats_invertebrates				eats_plants									
nokikana	rallidae		small_AR	large_wload	greyish-black_back	greyish-black_belly	C	similar-looking_genders	white_billcol	greenish_legcol	early_migration_arrival	average_migration_leaving	many_eggs	both_incub	both_ccare			webbed-feet		wading-bird		robust	long-winged	rallidae													habitat_nutrient-rich-lakes			habitat_reedbeds	habitat_sea-bays																			eats_insects														
luhtahuitti	rallidae	short	small_AR	small_wload	dappled-brown_back	dappled-brown_belly	C	similar-looking_genders	yellow_billcol	greenish_legcol	average_migration_arrival	average_migration_leaving	many_eggs	both_incub	both_ccare					wading-bird				rallidae												habitat_meadows	habitat_nutrient-rich-lakes			habitat_reedbeds							eats_algae														eats_invertebrates						eats_seeds							
merimetso	phalacrocoracidae	long		large_wload	black_back	black_belly	C	similar-looking_genders	grey_billcol	black_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare	diver	long-billed	webbed-feet				robust	short-winged	phalacrocoracidae									habitat_islets																					eats_fish														eats_shellfish						
silkkiuikku	podicipedidae	long	large_AR	large_wload	blackish-grey_back	white_belly	C	similar-looking_genders	reddish_billcol	yellowish-grey_legcol	average_migration_arrival	average_migration_leaving		both_incub	both_ccare	diver	long-billed	webbed-feet				robust	short-winged	podicipedidae										habitat_lakes							habitat_sea-bays													eats_fish																				
härkälintu	podicipedidae			large_wload	blackish-grey_back	reddish-brown_belly	C	similar-looking_genders	dark_billcol	black_legcol	average_migration_arrival	late_migration_leaving		both_incub	both_ccare	diver	long-billed	webbed-feet				robust		podicipedidae										habitat_lakes																		eats_clams		eats_fish														eats_shellfish						
mustakurkku-uikku	podicipedidae	short	large_AR	large_wload	black_back	reddish-brown_belly	C	similar-looking_genders	black_billcol	greenish-black_legcol	average_migration_arrival	early_migration_leaving		both_incub	both_ccare	diver		webbed-feet				robust	short-winged	podicipedidae										habitat_lakes					habitat_ponds																					eats_insects								eats_shellfish						
pikku-uikku	podicipedidae	short		large_wload	black_back	beige_belly	C	similar-looking_genders	black_billcol	greenish_legcol	average_migration_arrival	late_migration_leaving		both_incub	both_ccare	diver		webbed-feet					short-winged	podicipedidae										habitat_lakes					habitat_ponds													eats_clams		eats_fish						eats_insects								eats_shellfish						
kaakkuri	gaviidae	long	large_AR	large_wload	greyish-brown_back	white_belly	C	similar-looking_genders	black_billcol	black_legcol	average_migration_arrival	late_migration_leaving	few_eggs	both_incub	both_ccare	diver		webbed-feet				robust	short-winged	gaviidae										habitat_lakes					habitat_ponds															eats_fish																				
kuikka	gaviidae	long	large_AR	large_wload	black-white_back	white_belly	C	similar-looking_genders	black_billcol	black_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare	diver		webbed-feet				robust		gaviidae										habitat_lakes							habitat_sea-bays													eats_fish																				
kaulushaikara	ardeidae	long	small_AR		dappled-brown_back	dappled-brown_belly	B	similar-looking_genders	greenish-yellow_billcol	greenish-yellow_legcol	average_migration_arrival	average_migration_leaving	many_eggs	F_incub	F_ccare		long-billed			wading-bird			short-winged	ardeidae													habitat_nutrient-rich-lakes			habitat_reedbeds	habitat_sea-bays										eats_chicks			eats_fish	eats_frogs														eats_small-rodents					
